Address,Price,Details,Images
"Peachtree Walk | 1074 Peachtree Walk NE, Atlanta, GA",as per size in the details,"['$1,530 1 bd', '$2,000+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Modera Midtown | 95 8th St NW, Atlanta, GA",as per size in the details,"['$1,645+ Studio', '$1,725+ 1 bd', '$2,250+ 2 bds', '$3,685 3 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"120 Ralph Mcgill Blvd NE APT 206, Atlanta, GA 30308","$1,750/mo","['1 bd', '1 ba', '1,023 sqft']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"825 Beckwith St SW #B, Atlanta, GA 30314","$1,850/mo","['3 bds', '1.5 ba', '1,429 sqft']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"939 Redford Dr SE, Atlanta, GA 30315","$1,275/mo","['3 bds', '2 ba', '1,000 sqft']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Post Centennial Park | 305 Centennial Olympic Park Dr, Atlanta, GA",as per size in the details,"['$1,260+ Studio', '$1,300+ 1 bd', '$1,980+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"88 Lucy St SE APT A, Atlanta, GA 30312","$2,500/mo","['3 bds', '2 ba', '1,360 sqft']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Alexan on 8th | 880 W Peachtree St NW, Atlanta, GA",as per size in the details,"['$1,790+ Studio', '$2,005+ 1 bd', '$2,755+ 2 bds', '$3,800+ 3 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Mayfair Tower Condominiums | 199 14th St NE, Atlanta, GA",as per size in the details,"['$1,400+ 1 bd', '$2,100+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"4049 Princeton Lakes Pass SW, Atlanta, GA 30331","$1,895/mo","['3 bds', '2.5 ba', '1,992 sqft']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
